budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count
0,https://www.netflix.com/title/81500432,1059638,tt27876411,pl,Pan Samochodzik i templariusze,"A well-known art historian, treasure hunter and owner of an unusual car stumbles upon a Templar treasure, which is the key to a great power that can upset the balance of good and evil in the world. Supported by friendly scouts, Mr. Car starts a big race against time and a hostile organization, the stake of which is the heritage of knightly orders.",1035.154,2023-07-12,0,110,Released,,Mr. Car and the Knights Templar,false,6.386,44
200000000,https://movies.disney.com/elemental,976573,tt15789038,en,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",983.361,2023-06-14,356689287,102,Released,Opposites react.,Elemental,false,7.6,626
0,https://www.xyzfilms.com/god-is-a-bullet,808396,tt14270702,en,God Is a Bullet,"Based on true events and the novel of the same name. Vice detective Bob Hightower finds his ex-wife murdered and daughter kidnapped by a cult. Frustrated by the botched official investigations, he quits the force and infiltrates the cult to hunt down the leader with the help of the cult’s only female victim escapee, Case Hardin.",862.181,2023-06-22,0,155,Released,Say your prayers.,God Is a Bullet,false,6.368,38
19800000,https://www.netflix.com/title/81404810,805320,tt14400246,es,Bird Box Barcelona,"After a mysterious force decimates the world’s population, Sebastian must navigate his own survival journey through the desolate streets of Barcelona. As he forms uneasy alliances with other survivors and they try to escape the city, an unexpected and even more sinister threat grows.",906.133,2023-07-14,0,124,Released,Fear the ones who see.,Bird Box Barcelona,false,6.085,306
0,https://www.onepiece-filmred.com,900667,tt16183464,ja,ONE PIECE FILM RED,"Uta — the most beloved singer in the world. Her voice, which she sings with while concealing her true identity, has been described as “otherworldly.” She will appear in public for the first time at a live concert. As the venue fills with all kinds of Uta fans — excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance — the voice that the whole world has been waiting for is about to resound.",814.098,2022-08-06,150797338,115,Released,An almighty voice. With fiery red locks.,One Piece Film Red,false,7.418,585
110000000,http://www.sanandreasmovie.com/,254128,tt2126355,en,San Andreas,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",812.594,2015-05-27,473990832,114,Released,"A rescue pilot survived an earthquake, this is what happens next",San Andreas,false,6.227,7869
0,https://www.netflix.com/title/81186234,921636,tt11274492,en,The Out-Laws,"A straight-laced bank manager is about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.",811.535,2023-07-07,0,95,Released,Meeting the in-laws has never been this dangerous.,The Out-Laws,false,6.224,348
34000000,https://www.20thcenturystudios.com/movies/the-darkest-minds,445651,tt4073790,en,The Darkest Minds,"After a disease kills 98% of America's children, the surviving 2% develop superpowers and are placed in internment camps. A 16-year-old girl escapes her camp and joins a group of other teens on the run from the government.",754.612,2018-07-25,41142379,105,Released,The ones who changed will change everything,The Darkest Minds,false,7.035,2532
0,,987507,tt21243618,ja,バッドシティ,"Kensuke Sonomura directs the legendary Hitoshi Ozawa in this ultimate V-Cinema actioner.  Kaiko City is plagued with poverty and crime. When a corrupt businessman decides to run for mayor and starts eliminating opponents from the rival mafia, a former police captain serving time for murder is secretly released and put in charge of a special task force to arrest him.",706.538,2022-07-05,0,118,Released,,Bad City,false,6.375,8
10000000,http://www.insidiousmovie.com,406563,tt5726086,en,Insidious: The Last Key,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home.",698.838,2018-01-03,167885588,103,Released,Fear comes home.,Insidious: The Last Key,false,6.267,2570
0,,1130818,tt16970906,en,Sheroes,"When four thick-as-thieves friends arrive in Thailand, they quickly find themselves in over their heads. Fighting to stay alive, they employ their unique set of skills and unleash their fierce loyalty in a heart-pumping battle for survival.",674.836,2023-06-23,0,91,Released,,Sheroes,false,6.375,84
0,,1070802,tt21391242,en,Confidential Informant,"During a crack epidemic two narcotics agents hunting for a cop killer. Hoping for leads, Moran and Thorton pay off a junkie informant. To provide for his wife and son, Moran involves the stool pigeon in a deadly scheme. This causes the partners to come under the scrutiny of a suspicious internal affairs agent.",671.791,2023-06-27,0,88,Released,The action-thriller movie is based on true events,Confidential Informant,false,6.442,69
39000000,http://www.theconjuringmovie.net,423108,tt7069210,en,The Conjuring: The Devil Made Me Do It,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",638.815,2021-05-25,206431050,111,Released,The demonic case that shocked America.,The Conjuring: The Devil Made Me Do It,false,7.513,5243
16000000,https://www.insidious.movie,614479,tt13405778,en,Insidious: The Red Door,"To put their demons to rest once and for all, Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before, facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.",631.34,2023-07-05,155000000,107,Released,It ends where it all began.,Insidious: The Red Door,false,6.034,238
0,https://www.warnerbros.com/movies/mortal-kombat-legends-scorpions-revenge,664767,tt9580138,en,Mortal Kombat Legends: Scorpion's Revenge,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",626.47,2020-04-12,0,80,Released,Extreme violence. Bad language. And a bloody good time.,Mortal Kombat Legends: Scorpion's Revenge,false,8.166,1250
65000000,https://www.netflix.com/title/81098494,697843,tt12263384,en,Extraction 2,"Tasked with extracting a family who is at the mercy of a Georgian gangster, Tyler Rake infiltrates one of the world's deadliest prisons in order to save them. But when the extraction gets hot, and the gangster dies in the heat of battle, his equally ruthless brother tracks down Rake and his team to Vienna, in order to get revenge.",625.947,2023-06-09,0,123,Released,Prepare for the ride of your life.,Extraction 2,false,7.55,1465
460000000,https://www.avatar.com/movies/avatar-the-way-of-water,76600,tt1630029,en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",614.001,2022-12-14,2320250281,192,Released,Return to Pandora.,Avatar: The Way of Water,false,7.669,9282
0,https://www.andresbeltran.com/quicksand,954388,tt19056070,en,Quicksand,A married couple on the brink of divorce becomes trapped in quicksand while hiking through a Colombian rainforest. It’s a struggle for survival as they battle the elements of the jungle and must work together in order to escape.,571.792,2023-08-31,0,86,Released,Fear will drag you deeper.,Quicksand,false,0,0
0,,1010581,tt21909764,es,Culpa mía,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",571.543,2023-06-08,0,117,Released,,My Fault,false,8.204,1313
0,,1103825,tt12519802,en,War of the Worlds: The Attack,Three young astronomers fight to survive a deadly Martian invasion.,566.985,2023-04-21,0,87,Released,They are here.,War of the Worlds: The Attack,false,6.47,33
0,,1036561,tt19879786,en,Shadow Master,"After being slain by a group of criminals, a man is reborn with animal-like superpowers and makes it his mission to right the wrongs of his city.",536.427,2022-11-03,0,90,Released,From the darkness he will rise.,Shadow Master,false,6.828,67
28700000,,667717,tt25434854,zh,深海,"Shenxiu has felt a deep sadness since her mother left. A storm plunges her into a dreamlike, 3D world of swirling colour. Led by the Hyjinx, and joined by inventive underwater chef Nanhe, she embarks on a quest to find solace in the Eye of the Deep Sea.",526.034,2023-01-22,136090000,105,Released,,Deep Sea,false,7.68,25
291000000,https://www.missionimpossible.com,575264,tt9603212,en,Mission: Impossible - Dead Reckoning Part One,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",516.709,2023-07-08,373082750,164,Released,We all share the same fate.,Mission: Impossible - Dead Reckoning Part One,false,7.777,705
55000000,https://www.mgmstudios.com/the-covenant,882569,tt4873118,en,Guy Ritchie's The Covenant,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",498.41,2023-04-19,20000000,123,Released,A bond. A pledge. A commitment.,Guy Ritchie's The Covenant,false,7.801,1178
92000000,http://www.diehardmovie.com/,47964,tt1606378,en,A Good Day to Die Hard,"Iconoclastic, take-no-prisoners cop John McClane, finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes.",491.457,2013-02-06,304654182,98,Released,Yippee Ki-Yay Mother Russia,A Good Day to Die Hard,false,5.316,5964
0,,1075335,tt19858164,en,Little Bone Lodge,"During a stormy night in the Scottish Highlands, two criminal brothers on the run seek refuge in a desolate farmhouse. But after taking the resident family captive, they find the house holds even darker secrets of its own.",465.696,2023-03-11,0,93,Released,A mother always protects her family.,Little Bone Lodge,false,7.5,132
0,https://theavenue.film/movies/the-black-demon,890771,tt10279472,en,The Black Demon,"Oilman Paul Sturges' idyllic family vacation turns into a nightmare when they encounter a ferocious megalodon shark that will stop at nothing to protect its territory. Stranded and under constant attack, Paul and his family must somehow find a way to get his family back to shore alive before it strikes again in this epic battle between humans and nature.",458.925,2023-04-26,0,101,Released,Nature bites back.,The Black Demon,false,6.364,382
70000000,https://www.ketchupentertainment.com/hypnotic,536437,tt8080204,en,Hypnotic,A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.,430.885,2023-05-11,0,94,Released,Control is an illusion.,Hypnotic,false,6.494,345
18000000,https://www.thepopes-exorcist.movie,758323,tt13375076,en,The Pope's Exorcist,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",441.926,2023-04-05,70204828,103,Released,"Inspired by the actual files of Father Gabriele Amorth, Chief Exorcist of the Vatican.",The Pope's Exorcist,false,7.197,1672
15000000,https://www.evildeadrisemovie.com,713704,tt13345606,en,Evil Dead Rise,"A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",432.369,2023-04-12,141512122,96,Released,Mommy loves you to death.,Evil Dead Rise,false,7.034,2022
0,http://gantzo.jp/,396263,tt5923962,ja,GANTZ:O,"After being brutally murdered in a subway station, a teen boy awakens to find himself resurrected by a strange computer named Gantz, and forced to fight a large force of invading aliens in Osaka.",429.385,2016-10-14,2238600,95,Released,,GANTZ:O,false,7.337,661
0,https://www.warnerbros.com/movies/mortal-kombat-legends-battle-realms,841755,tt14901058,en,Mortal Kombat Legends: Battle of the Realms,"The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.",420.32,2021-08-31,0,80,Released,,Mortal Kombat Legends: Battle of the Realms,false,7.751,374
200000000,https://www.marvel.com/movies/ant-man-and-the-wasp-quantumania,640146,tt10954600,en,Ant-Man and the Wasp: Quantumania,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",412.277,2023-02-15,475766228,125,Released,Witness the beginning of a new dynasty.,Ant-Man and the Wasp: Quantumania,false,6.472,3658
150000000,https://www.themeg.movie,615656,tt9224104,en,Meg 2: The Trench,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,404.257,2023-08-02,0,116,In Production,Back for seconds.,Meg 2: The Trench,false,0,0
