id,logo_path,name,origin_country
2266,/owzVs2mguyyJ3vIn7EbgowpUPnk.png,Bold Films,US
3172,/kDedjRZwO8uyFhuHamomOhN6fzG.png,Blumhouse Productions,US
32157,/4hOCk25Ce8s242NItnwtV7aKRWY.png,Right of Way Films,US
24049,/zOHQ0A3PpNoLLeAxRZwSqNV3nPr.png,Sierra/Affinity,US
11341,/xytTBODEy3p20ksHL4Ftxr483Iv.png,Stage 6 Films,US
58,/voYCwlBHJQANtjvm5MNIkCF1dDH.png,Sony Pictures Classics,US
91410,,Den of Thieves,US
69922,/afnIZUPqGAmPh9rFncRGA2vEVwx.png,Taylor Swift Productions,US
4286,,Juno Pix,
65393,,Cecchi Gori Pictures,
2849,/cN3JNIKawjOMtfk0GBVIbsx69bg.png,BONES,JP
139842,/uBixtDwl2hxsugqSOTzEP90kxa0.png,TOY'S FACTORY,JP
11848,,KDDI,JP
170125,/aQ07cYAVuJCmfuCeiaDnmmhdibk.png,Movie Walker,JP
91253,/aD91ywW7l93wk9N0fNX8URMgQSC.png,TBS Radio,JP
10715,,Alfred J. Hitchcock Productions,US
3041,/j9VqEdiNqIkMJKku1UTGMAvmuRr.png,GAINAX,JP
3466,/lmCg0zarmM52wrmsZRUY0QlPKLh.png,movic,JP
21504,,Star Child Recording,
3034,/kGRavMqgyx4p2X4C96bjRCj50oI.png,TV Tokyo,JP
529,/rwB6w2aPENQbx756pBWSw44Ouk.png,Production I.G,JP
1194,/dwkHaFLgtA7CUNbgKK0wB6bospu.png,Kadokawa Shoten,JP
5822,/qyTbRgCyU9NLKvKaiQVbadtr7RY.png,Toei Company,JP
113750,/A3QVZ9Ah0yI2d2GiXUFpdlbTgyr.png,SEGA,JP
11308,,Savoy Pictures,
924,,The Turman-Morrissey Company,
2680,,Kurosawa Production,JP
41,/xAot4SSOIHiWQ2WEnVXYGR1lce9.png,Orion Pictures,US
55072,,Strong Heart/Demme Production,US
31364,,Rakuonsha,JP
136217,/dBYuplhBgeOsGPQOI0LukWNbFWE.png,Bandai Namco Arts,JP
6683,/reCkuk3GEomdx5gQpsm15Zl1sgX.png,Lantis,JP
155271,/z5E1jpLIrwDckeWcMqcPZ9qHvTw.png,Heart Company,JP
155307,,Miracle Bus,JP
71975,,Roy Export Company Establishment,
12516,,Nibariki,JP
67681,,TNDG,
1778,/b5rT6VbYza3LyfltCmz1OcqzWJM.png,dentsu,JP
49096,/dj9VQ8Tqw4OTP8h5JkSOQGpEeMR.png,Yong Film,KR
70884,,Yang & His Gang Filmmakers,
78456,,Touché Films,
7062,/lyjwhVUoPpfBy87TbPpoMTsULHx.png,Dynamo,CO
9,/nda3dTUYdDrJ6rZqBpYvY865aDv.png,Gaumont,FR
66743,,Les Films du Dauphin,FR
1315,,Charles Chaplin Productions,
9195,/ou5BUbtulr6tIt699q6xJiEQTR9.png,Touchstone Pictures,US
10282,,Silver Screen Partners IV,US
184460,,A Steven Haft Production,
1089,,Witt/Thomas Productions,
1757,,Mad Chance,US
12617,/9Wf5DFTvzxo0pSqDp8MQWW3d01.png,Belarusfilm,SU
344,/xenuUvcunUNpbaDOYGhWZERaym7.png,Mosfilm,SU
67089,/1wnxolUB5NHZARmeeZjVXKpGKaI.png,Light Chaser Animation Studios,CN
69484,/2xtmvbEse87LM7OJXVksv7DToZx.png,Alibaba Pictures Group,CN
3212,,Teshigahara Productions,JP
4145,/aEiJyMKr2CxrAJiIdtN70wXqn.png,khara,JP
907,/ca5SWI5uvU985f8Kbb4xc8AmVWH.png,Overbrook Entertainment,US
25287,,San Marco,IT
84409,,Wayfarer Entertainment,US
5490,/xuJSR4dWsvkE194aemIJwflyNF2.png,CBS Films,US
21,/5Va1Ie5c4sjfEYqixQ3L8qg7fKu.png,Metro-Goldwyn-Mayer,US
3464,/9k0nr75nwnNeT2MHerf1OXJN0hj.png,Madhouse,JP
185544,,Rex Entertainment,JP
201821,,Kotobuki Seihan Printing,
4868,/3ExeT4zGXBFU7ei1crOvuzKnc1z.png,Asahi Broadcasting Corporation,JP
201822,,Fangs Co.,
641,/w8flpSJntsxVCMkIU1qeg1kJcJh.png,Titanus,IT
534,,Filmsonor,FR
1826,,Play Art,FR
70,/ueaENQkPcy8rlr5fGZVBXKOhlBh.png,American Zoetrope,US
86824,/kGbzID3zHwCnhVjmMw3lKij2NKx.png,Big Hit Entertainment,KR
7036,/javbyY0ZCvlFJtly3tpZqf2NwLX.png,CJ Entertainment,KR
128333,/cIFX3XS0k5UzJwOi5rvCDlpgzib.png,CJ CGV,KR
137006,,Lanistar Media,
98733,/7V4dUwsU0Op8q7tpGXuzxRYB6O9.png,Motion Content Group,
126639,,CJ Entertainment Turkey,TR
6301,/jma8ZaHq1KAzlXW3v0RswVOWSdn.png,CinéCinéma,FR
7038,/9YDo78sKAy6xxqBwVBT2Vi9FSZl.png,Quad Productions,FR
7766,/rwBbDJAlUC0mAVnO02APsy0O80T.png,Chaocorp,FR
8018,,Ten Films,FR
22123,/zPTy6QDAlCKGeAALZoFEL3QAlut.png,TF1,FR
82819,/gXfFl9pRPaoaq14jybEn1pHeldr.png,Skydance,US
10288,,Don Simpson/Jerry Bruckheimer Films,US
521,/kP7t6RwGz2AvvTkvnI1uteEwHet.png,DreamWorks Animation,US
6246,/7X6pfxldTiOD7MLo2EQqUQlmOUw.png,Medusa Film,IT
27597,,Sciarlò,
611,,Bryna Productions,US
399,,Show East,KR
118802,,Egg Film,KR
685,,Cineclick Asia,KR
420,/hUzeosd33nzE5MCNsZxCGEKTXaQ.png,Marvel Studios,US
2785,/l5zW8jjmQOCx2dFmvnmbYmqoBmL.png,Warner Bros. Animation,US
9993,/2Tc1P3Ac8M479naPp1kYT3izLS5.png,DC Entertainment,US
42811,/2ZPUk3aYOtKbZk1W4Kp6mfeays8.png,Lerche,JP
13839,/125UdB9wgDkY2RNpjgCiKyk3Dll.png,Metafilms,CA
50488,,Sons of Manual,CA
11770,,Liberty Films,US
23948,/uneZYGxTZcwAzmPTTaefmDNWPzN.png,Cartoon Saloon,IE
13351,/sj74baixfiB8uIdTJWzU26E25ef.png,Melusine Productions,LU
142984,,Value&Power Culture Communications,CN
11776,/33JMuTtwY5UhPwkmCEyH1YaCD23.png,Film Fund Luxembourg,LU
1898,/8ix6SGlJiyuUDxLBtY8E0PY2G7w.png,Screen Ireland,IE
30280,/v72EEBRCxGWK2qLJNXUBrFnFpyp.png,Broadcasting Authority of Ireland,IE
726,/hHaQQgxqg2NohqZSxbMTB9E483m.png,Haut et Court,FR
1923,/ilgktofJY7OsURHfccJrug4GKdQ.png,RTÉ,IE
11620,/f3hRdCaK1w9qH1Qs8nLd2L2bae1.png,OCS,FR
142985,/A7x8YrUJNm4S8btV1thTBvtOwvC.png,Pôle Image Magelis,FR
89705,/9lUhHbMr32wzkDgaOMNrzIu66YC.png,Folivari,FR
32853,/y1CUzdA8WOdKzikxTYL4xqCDlqF.png,GKIDS,US
