description,headquarters,homepage,id,name,origin_country
,Vienna,https://www.filmhaus.com/filmhaus-films/,104576,Filmhaus Films,AT
,"Los Angeles, California",https://www.20thcenturystudios.com,127928,20th Century Studios,US
,"Santa Monica, California",,574,Lightstorm Entertainment,US
,"Las Vegas, Nevada, USA",http://theseeliggroup.com/,22213,TSG Entertainment,US
,,,172265,Sangre Films,CO
,,,172266,222 Pictures,
,"Los Angeles, California",http://www.dawnslightmedia.com,92109,Dawn's Light,US
,,,172267,Elemental Stories,
,,https://pokeepsiefilms.com/,32485,Pokeepsie Films,ES
,"Santa Monica, California",https://studios.amazon.com/,20580,Amazon Studios,US
,,,200553,Doorbell Productions,
,,,77781,Lola's Productions,
,,,200554,Seeon,
,,,185718,Rock Solid Productions,
,"Beverly Hills, California",http://www.bleibergent.com,4322,Compound B,US
,,,185719,White Snake Golden Dragon,
,Beijing,https://www.octmedia.com/,153486,October Media,CN
,Korgas,,121042,Horgos Coloroom Pictures,CN
,Beijing,https://www.ewang.com/,4053,Enlight Pictures,CN
,"Los Angeles, California",,21777,TC Productions,US
,"Burbank, California",https://stxentertainment.com,47729,STX Films,US
,,,2900,Toff Guy Films,GB
,,,2735,Mid Atlantic Films,HU
,"London, England",http://www.ingeniousmedia.co.uk,290,Ingenious Media,GB
,"Los Angeles, California",,444,Dune Entertainment,US
,,,10893,Big Screen Productions,
,"West Hollywood, California, USA",,12292,Temple Hill Entertainment,US
,,https://www.giant.pictures/,34396,Giant Pictures,
,,,34397,Origo Film Group,
,"Los Angeles, California, USA",https://www.particularcrowd.com,119056,Particular Crowd,US
,,,20613,SC Films International,
,,,155758,Tea Shop Productions,
,"Hollywood, California",https://www.muchomasmedia.com/,78193,Mucho Mas Media,US
,"Los Angeles, California",http://silkmass.com/,151485,Silk Mass,US
,"Los Angeles, California",https://theavenue.film/,185127,The Avenue Entertainment,US
,"Los Angeles, California",http://www.highlandfilmgroup.com,76991,Highland Film Group,US
,"Culver City, California",http://www.studio8.com,77863,Studio 8,US
,"Saint Louis, Missouri, United States",http://www.solsticeproductionsvideo.com/,52180,Solstice Productions,US
,"Austin, Texas",,158413,Double R Productions,US
,"Los Angeles, California",,84792,2.0 Entertainment,US
,,,177894,Jesus & Mary,
,,,177895,Worldwide Katz,
,,,177896,Loyola Productions,
,,,194987,FFILME.RO,
,"Beverly Hills, California",http://www.ghosthousepictures.com,768,Ghost House Pictures,US
,"New York City, New York, USA",,467,Renaissance Pictures,US
,,,7893,Pacific Renaissance Pictures,NZ
,"Dublin, Ireland",https://www.wildatlanticpictures.com/page/home,129815,Wild Atlantic Pictures,IE
,,https://www.dfx.co.jp/en/index.html,3361,Digital Frontier,JP
,,http://apellesentertainment.com,56242,Apelles Entertainment,US
,Beijing,https://cmc-pictures.com,92484,CMC Pictures,CN
,,,150179,Post Film,
,"Los Angeles, California",http://www.boulderlightpictures.com/,18609,BoulderLight Pictures,US
,London,http://www.mediafinancecapital.com/,117747,Media Finance Capital,GB
,"New York City, New York",http://rainmakerfilms.com,106786,RainMaker Films,US
,"New York City, New York",http://yaleproductions.com,75355,Yale Productions,US
,"Helsinki, Finland",,62408,Subzero Film Entertainment,FI
,London,https://goodchaos.co.uk/,182028,Good Chaos,GB
,,,125055,Hyperobject Industries,US
,"Gangnam, Seoul, South Korea",http://www.its-new.co.kr/,20064,Next Entertainment World,KR
,"Gangnam, Seoul, South Korea",https://zipcine.modoo.at/,85150,Zip Cinema,KR
,"Gangnam, Seoul, South Korea",http://www.opuspictures.com/,7270,Opus Pictures,KR
,"Gangnam, Seoul, South Korea",http://www.unionip.net/,88607,Union Investment Partners,KR
,,,3394,Sundream Motion Pictures,HK
,"Mapo, Seoul, South Korea",https://www.seoulfc.or.kr/Main/,100305,Seoul Film Commission,KR
,,,197889,United Pictures,KR
,,https://carverfilms.com/,71767,Carver Films,AU
,"Los Angeles, California",http://xyzfilms.com,12142,XYZ Films,US
,"Oakland, California",https://proximitymedia.com/,148495,Proximity Media,US
,,,166120,Balboa Productions,US
,"Los Angeles, California",,102334,Outlier Society Productions,US
,,,12252,Chartoff-Winkler Productions,
,,,181859,ERO Picture Company,CA
,"North Hollywood, Los Angeles, California",https://www.projectxentertainment.com,130448,Project X Entertainment,US
,"Burbank, California",https://www.disneyanimation.com/,6125,Walt Disney Animation Studios,US
,,http://www.hiradiosilence.com/,126588,Radio Silence,US
,"Century City, Los Angeles, California",https://spyglassmediagroup.com/,143790,Spyglass Media Group,US
,"Burbank, California",,4811,Warner Premiere,US
,"New York City, New York",https://nbcnewsstudios.com,162351,NBC News Studios,US
,Hong Kong,https://www.emp.hk/en/,122289,Emperor Motion Pictures,HK
,"Philadelphia, Pennsylvania, USA",https://corporate.comcast.com/,29335,Comcast,US
,,,148024,北京京西文化旅游股份有限公司,
,"Chaoyang District, Beijing, China",,190261,"Century Changshengtian Film (Beijing) Co., Ltd.",CN
,"Shanghai, China",,84946,Tencent Penguin Pictures,CN
,,,96956,猫眼影业,
,,,160975,华夏电影发行有限责任公司,
,,,200259,La Vereda Producciones,
,,http://sevenbucks.com,73669,Seven Bucks Productions,US
,,,117188,Excellent Cadaver,US
,,http://www.odenkirk-provissiero.com/,86647,Odenkirk Provissiero Entertainment,US
,"Los Angeles, California",http://annapurna.pictures,13184,Annapurna Pictures,US
,,http://www.dneg.com,107183,DNEG,US
,"Los Angeles, California",,829,Vertigo Entertainment,US
,"Greenwich, Connecticut",http://blueskystudios.com/,9383,Blue Sky Studios,US
,,,1302,Davis Entertainment,US
,,,48778,Gravity Pictures,CN
,,,107790,Flagship Entertainment Group,CN
,,,56241,Maeday Productions,
,"New York City, New York",http://www.filmnation.com,7493,FilmNation Entertainment,US
,"Toronto, Ontario",https://www.spinmaster.com,71738,Spin Master,CA
,"Los Angeles, California",,2348,Nickelodeon Movies,US
,Paris,https://www.mikrosimage.com/,8649,Mikros Image,FR
,"Toronto, Ontario",https://www.elevationpictures.com,82552,Elevation Pictures,CA
,"Mitaka, Tokyo",http://pierrot.jp,3234,Pierrot,JP
,"Los Angeles, California",,182897,Wattpad WEBTOON Studios,US
,,,99436,Six Demon Films,
,"Escandón, Alcaldía Miguel Hidalgo, Mexico City",https://perroazul.tv,147717,Perro Azul,MX
