movies,production_companies
76600,574
76600,22213
954388,172265
954388,172266
954388,92109
954388,172267
1010581,32485
1010581,20580
1103825,200553
1103825,77781
1103825,200554
1036561,185718
1036561,4322
1036561,185719
667717,153486
667717,121042
667717,4053
575264,4
575264,82819
575264,21777
882569,47729
882569,2900
47964,2735
47964,290
47964,444
47964,10893
47964,12292
47964,22213
47964,34396
47964,34397
47964,25
1075335,119056
1075335,20613
1075335,155758
890771,78193
890771,151485
890771,185127
890771,76991
536437,77863
536437,52180
536437,290
536437,158413
758323,3287
758323,84792
758323,177894
758323,177895
758323,177896
758323,194987
713704,12
713704,768
713704,467
713704,7893
713704,129815
713704,174
396263,3361
396263,882
841755,2785
640146,420
640146,176762
615656,56242
615656,174
615656,435
615656,92484
986070,150179
986070,18609
986070,117747
986070,106786
986070,75355
840326,62408
840326,182028
840326,11341
787752,923
787752,125055
204553,20064
204553,85150
204553,7270
204553,88607
204553,3394
204553,100305
204553,197889
204553,7036
594767,12
594767,11565
594767,128064
714669,71767
714669,12142
677179,21
677179,148495
677179,166120
677179,102334
677179,12252
994143,181859
335977,1
917007,47729
917007,130448
917007,121204
568124,6125
568124,2
634649,420
634649,84041
634649,5
1150394,9965
934433,126588
934433,130448
934433,143790
934433,4
22620,4811
1149947,162351
543504,122289
73723,33
73723,6704
73723,29335
856289,148024
856289,190261
856289,84946
856289,96956
856289,160975
1127781,200259
505642,420
436270,12
436270,34081
436270,128064
436270,73669
884605,117188
884605,86647
884605,5
961323,13184
961323,107183
961323,829
961323,9383
8920,1302
8920,25
345940,56242
345940,48778
345940,435
345940,107790
345940,56241
345940,174
605886,7493
605886,106786
675445,71738
675445,2348
675445,4
675445,8649
675445,82552
812225,3234
988078,11068
988078,182897
879444,99436
648743,147717
868759,82819
534313,20182
496450,84713
496450,140008
496450,2902
496450,79650
496450,35136
496450,200503
496450,138896
842675,14714
842675,191194
804150,33
804150,12365
804150,77973
346364,12
346364,829
346364,2723
346364,87671
893345,114874
893712,13113
893712,95809
893712,162614
893712,2883
893712,162613
17681,1353
17681,2785
17681,100848
813477,4145
813477,5896
813477,5822
616747,2
616747,118854
536554,76907
